,Restaurant,Cusines_all,price_for_one,Rating,delivery_review_number,location,Longitude,Latitude
27615,ATH - All Things Healthy!, Desserts,250,4.0,403,Domlur,77.6381958,12.9624669
27616,ATH - All Things Healthy!, Desserts,250,4.0,216,Sanjay Nagar,77.6958748,12.9578658
27617,ATH - All Things Healthy!, Desserts,250,4.2,125,Bommasandra,77.6916113,12.8162443
27618,ATH - All Things Healthy!, Desserts,250,4.0,306,Kammanahalli,77.6377094,13.0093455
27619,Udupi Juice Shop, Ice Cream,125,0.0,5,Marathahalli,77.6984163,12.9552572
27621,Chung Wah's, Sichuan,200,3.9,41,HSR,77.6398674,12.9092342
27622,Chung Wah's, Sichuan,200,2.9,23,Whitefield,77.7497448,12.9696365
27623,Hungree Belly, Bengali,400,4.1,5753,Kaggadasapura,77.6790908,12.9846713
27624,Thrilok Restaurant, North Indian,175,3.7,249,Banashankari,77.59445195,12.96528325
27625,Lucknowee, Mughlai,300,3.9,181,Sarjapur Road,77.6653284,12.920441
27626,Lucknowee, Mughlai,300,3.9,165,Koramangala 7th Block,77.6134783,12.9364846
27627,Lucknowee, Mughlai,300,3.6,168,Thippasandra,77.6509982,12.973936
27628,Habibi Falafel, Desserts,250,4.3,858,JP Nagar,77.5782713,12.9072515
27629,Habibi Falafel, Desserts,250,4.1,1437,Indiranagar,77.6404672,12.9732913
27630,Habibi Falafel, Desserts,250,4.3,1475,Bommanahalli,77.6239038,12.9089453
27631,Habibi Falafel, Desserts,250,4.2,624,Kammanahalli,77.6377094,13.0093455
27632,Habibi Falafel, Desserts,250,4.3,382,Electronic City,77.64825296,12.8487599
27633,Habibi Falafel, Desserts,250,4.1,3193,Koramangala 1st Block,77.6308832,12.9275886
27641,Gufha - The President Hotel, Finger Food,600,4.1,212,The President Hotel,77.6239038,12.9089453
27642,Donne Biryani Mane, Beverages,225,3.7,8476,Banashankari,77.59445195,12.96528325
27643,Donne Biryani Mane, Beverages,150,3.9,364,Koramangala 4th Block,77.6294052,12.9327778
27644,Chef Zaika Restaurant, Sichuan,175,3.8,151,KR Puram,77.695935,13.007516
27645,Indiana Burgers, Desserts,250,4.1,4251,Indiranagar,77.6404672,12.9732913
27646,Indiana Burgers, Desserts,250,4.1,2021,Jayanagar,77.5824229,12.9292731
27647,Indiana Burgers, Desserts,250,4.0,3,Kadubeesanahalli,77.6972484,12.942199
27648,Indiana Burgers, Desserts,250,3.9,2962,HSR,77.6398674,12.9092342
27649,Indiana Burgers, Desserts,250,4.1,2832,Kalyan Nagar,77.6403368,13.0221416
27650,Indiana Burgers, Desserts,250,3.6,183,Vasanth Nagar,77.58516878,12.98872125
27651,Indiana Burgers, Desserts,250,3.9,4788,Whitefield,77.7497448,12.9696365
27652,Indiana Burgers, Desserts,250,3.6,1011,Bannerghatta Road,77.6041899,12.9521804
27653,Indiana Burgers, Desserts,250,4.1,3851,Brookefield,77.7168891,12.9668213
27654,Indiana Burgers, Desserts,250,4.4,2349,Jalahalli,77.5483803,13.0464531
27655,Indiana Burgers, Desserts,250,4.2,2704,Nagarbhavi,77.51126721,12.95961755
27656,Indiana Burgers, Desserts,250,3.9,2584,Koramangala 2nd Block,77.6242433,12.9243692
27657,Indiana Burgers, Desserts,250,4.2,2123,Electronic City,77.64825296,12.8487599
27658,Indiana Burgers, Desserts,150,4.0,2633,Koramangala 6th Block,77.6238477,12.9390255
27659,Dum Biryani Hub, Desserts,225,3.4,15000,BTM,77.60456543,12.91127585
27660,Nizam's Kitchens, Hyderabadi,150,3.6,468,Banashankari,77.59445195,12.96528325
27661,Nizam's Kitchens, Hyderabadi,150,3.5,268,Koramangala 7th Block,77.6134783,12.9364846
27662,Nizam's Kitchens, Hyderabadi,150,4.0,299,Sarjapur Road,77.6653284,12.920441
27663,Nizam's Kitchens, Hyderabadi,150,3.5,492,Rajajinagar,77.554883,12.9882338
27664,Nizam's Kitchens, Hyderabadi,150,3.6,360,Electronic City,77.64825296,12.8487599
27665,Nizam's Kitchens, Hyderabadi,150,3.4,292,JP Nagar,77.5782713,12.9072515
27666,Nizam's Kitchens, Hyderabadi,150,3.3,148,Kalyan Nagar,77.6403368,13.0221416
27667,Nizam's Kitchens, Hyderabadi,150,3.4,379,New BEL Road,77.564105,13.0393922
27668,Nizam's Kitchens, Hyderabadi,150,3.3,409,Varthur Main Road,77.7471103,12.9413238
