,Restaurant,Cusines_all,price_for_one,delivery_review_number,location
86161,Momoz, Burger,400,1017,"jeevan bhima nagar, bangalore"
86177,Sreeraj Lassi Bar, Ice Cream,150,241,"wilson garden, bangalore"
86179,Sreeraj Lassi Bar, Ice Cream,100,241,"wilson garden, bangalore"
86184,Sreeraj Lassi Bar, Ice Cream,50,241,"wilson garden, bangalore"
86186,Nandhini Deluxe, South Indian,400,3165,"jayanagar, bangalore"
86187,Nandhini Deluxe, South Indian,250,3165,"jayanagar, bangalore"
86188,Nandhini Deluxe, South Indian,600,3165,"jayanagar, bangalore"
86196,Nammura Donne Biriyani,,200,1611,"btm, bangalore"
86197,Nammura Donne Biriyani,,150,1611,"btm, bangalore"
86198,Punjabi Unplugged, Kebab,150,1193,"whitefield, bangalore"
86200,Punjabi Unplugged, Kebab,375,1193,"whitefield, bangalore"
86203,Pizzaaj,,250,298,"indiranagar, bangalore"
86204,Dhanush Miltry Hotel, North Indian,100,15,"magadi road, bangalore"
86205,Glen's Bakehouse, Continental,400,2343,"sanjay nagar, bangalore"
86213,Burger Man, Sandwich,150,227,"yelahanka, bangalore"
86214,Burger Man, Sandwich,100,227,"yelahanka, bangalore"
86215,Diwali Specials By CakeZone - Pure Veg, Waffle,150,25,"btm, bangalore"
86225,Gelatissimo, Beverages,250,31,"kalyan nagar, bangalore"
86226,Burger It Up, Beverages,250,40,"yeshwantpur, bangalore"
86255,Pattegar Donne Biriyani, Rolls,200,246,"vijay nagar, bangalore"
86256,Ninan's Steak House, Fast Food,200,33,"bommanahalli, bangalore"
86257,"Frozen Bottle - Milkshakes, Desserts and Ice Cream", Ice Cream,250,3499,"koramangala 5th block, bangalore"
86260,"Frozen Bottle - Milkshakes, Desserts and Ice Cream", Ice Cream,175,3499,"koramangala 5th block, bangalore"
86268,Gullu's Chat, Sandwich,125,8049,"seshadripuram, bangalore"
86269,Schezwan Hub,,200,268,"electronic city, bangalore"
86278,Donne Biryani House,,150,1706,"btm, bangalore"
86281,Donne Biryani House,,200,1706,"btm, bangalore"
86282,Naati Adda,,225,0,"electronic city, bangalore"
86283,Burgers Kingdom, Pizza,150,1965,"banaswadi, bangalore"
86295,RollsKing, North Indian,200,14,"brookefield, bangalore"
86300,Sathyams Delight,,150,118,"banashankari, bangalore"
86301,Olio - The Wood Fired Pizzeria,,300,32,"kadubeesanahalli, bangalore"
86326,Poha Point, Fast Food,100,1538,"koramangala 6th block, bangalore"
86327,Anna Kuteera, Chinese,250,10300,"banashankari, bangalore"
86344,Jai Maruthi 99 Variety Dosa & Pav Bhaji Corner,,150,3774,"electronic city, bangalore"
86346,Chai Days, Street Food,150,370,"kalyan nagar, bangalore"
86351,IBC (Indian Biryani Company), Mughlai,250,1152,"btm, bangalore"
86353,Basmati Express,,150,327,"kalyan nagar, bangalore"
86362,Chai Bar,,50,110,"old airport road, bangalore"
86363,Sikandar, North Indian,250,242,"mg road, bangalore"
86364,Tandoor Box, Rolls,250,1667,"whitefield, bangalore"
86365,Brik Oven, Fast Food,500,717,"santosh tower, whitefield, bangalore"
86366,Brik Oven, Fast Food,250,717,"santosh tower, whitefield, bangalore"
86391,Hyderabadi Biryani Utsav, North Indian,400,3581,"old madras road, bangalore"
86393,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,100,301,"marathahalli, bangalore"
86396,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,200,301,"marathahalli, bangalore"
86409,The Momo Co., Desserts,250,180,"bommanahalli, bangalore"
86422,Ambur Star Briyani Since 1890, Chinese,350,6004,"indiranagar, bangalore"
86426,Shree Mahalakshmi Sweets,,100,2119,"basaveshwara nagar, bangalore"
86429,Shree Mahalakshmi Sweets,,250,2119,"basaveshwara nagar, bangalore"
86432,Foodeez Zone, Biryani,250,61,"new bel road, bangalore"
86433,Fida Ambur Dum Biriyani And Kabab, Chinese,150,14,"bommanahalli, bangalore"
86468,Vinaya Royal Inn - Pan Asian Food, Continental,325,24,"electronic city, bangalore"
86469,Ambur Star Biryani Since 1890, North Indian,350,577,"rajarajeshwari nagar, bangalore"
86470,Hokart - Raju j Hotel,,75,0,"bommanahalli, bangalore"
86487,Behrouz Biryani, Hyderabadi,500,6109,"hsr, bangalore"
86505,Charcoal Chicken Barbecue, Chinese,200,41,"new bel road, bangalore"
86506,SGM's Place, Beverages,100,2782,"electronic city, bangalore"
86508,PVR Café, Beverages,200,65,"itpl main road, whitefield, bangalore"
86514,Anand Bhavan Resturant, Street Food,250,31,"kr puram, bangalore"
86515,The Dripping Cone, Beverages,250,157,"whitefield, bangalore"
86520,Samosa Singh, Tea,200,411,"basaveshwara nagar, bangalore"
86543,Indulge Desi, Chinese,200,219,"jp nagar, bangalore"
86545,Chota Hussain,,150,0,"thippasandra, bangalore"
86560,Krishnam Udupi Hotel, Street Food,250,2796,"kanakapura road, bangalore"
86581,Daily Sushi, Japanese,500,480,"jayanagar, bangalore"
86582,Daily Sushi, Japanese,400,480,"jayanagar, bangalore"
86585,Daily Sushi, Japanese,450,480,"jayanagar, bangalore"
86588,Rannaghar, Sichuan,300,3621,"kaggadasapura, bangalore"
86595,Mizo Kitchen,,200,1049,"koramangala 5th block, bangalore"
86603,PK Foods, South Indian,100,5,"sarjapur road, bangalore"
86622,Chaat King, Fast Food,75,755,"rr vatika, rajarajeshwari nagar, bangalore"
86623,Sri Ram Bhojanalay, Chinese,150,624,"yeshwantpur, bangalore"
86631,Goli Vadapav No 1, Fast Food,100,233,"koramangala 4th block, bangalore"
86633,Gully Foods, Burger,150,12,"btm, bangalore"
86635,New Shahi Kabab Roll Center,,125,319,"indiranagar, bangalore"
86636,Magic Chef Restaurant, Chinese,250,135,"btm, bangalore"
86637,Baskin Robbins,,200,11,"rajajinagar, bangalore"
86638,Baskin Robbins,,150,11,"rajajinagar, bangalore"
86655,Sicilia Point, Beverages,500,168,"rajajinagar, bangalore"
86656,Paratha Box by EatFit, Beverages,150,33,"vasanth nagar, bangalore"
86664,Meat & Eat, Fast Food,150,707,"jp nagar, bangalore"
86665,Hotel Chandrika, Chinese,350,1484,"cunningham road, bangalore"
86666,CakeZone,,100,3396,"whitefield, bangalore"
86680,Narmada Chain of Restaurants, North Indian,400,677,"kammanahalli, bangalore"
86681,Narmada Chain of Restaurants, North Indian,250,677,"kammanahalli, bangalore"
86686,The Biryani Life, Hyderabadi,300,338,"koramangala 1st block, bangalore"
86704,One For The Road, North Indian,750,680,"elements mall, nagawara, bangalore"
86705,One For The Road, North Indian,700,680,"elements mall, nagawara, bangalore"
86712,Havmor Ice Creams,,100,7,"kalyan nagar, bangalore"
86713,SLV Corner Restaurant, Street Food,400,11400,"153 biere street, bangalore"
86714,Cold Stone Creamery, Waffle,200,168,"garuda mall, magrath road, bangalore"
86718,Cold Stone Creamery, Waffle,175,168,"garuda mall, magrath road, bangalore"
86719,Sri Udupi Sagar,,150,1095,"btm, bangalore"
86720,Fanoos Xprss, North Indian,200,1953,"jayanagar, bangalore"
86728,NH10, Street Food,200,68,"banashankari, bangalore"
86729,Yumlane Pizza, Desserts,250,19,"jp nagar, bangalore"
86739,Baky Bakery And Cakes,,100,188,"jayanagar, bangalore"
86740,Wendy's, American,250,567,"whitefield, bangalore"
86749,Wendy's, American,200,567,"whitefield, bangalore"
86752,Al-Bek, North Indian,150,31800,"varthur main road, whitefield, bangalore"
86753,Al-Bek, North Indian,200,31800,"varthur main road, whitefield, bangalore"
86757,Al-Bek, North Indian,375,31800,"varthur main road, whitefield, bangalore"
86763,Sri Krishna Sagar, Street Food,200,156,"kr puram, bangalore"
86764,Sri Krishna Sagar, Street Food,250,156,"kr puram, bangalore"
86765,Sri Krishna Sagar, Street Food,225,156,"kr puram, bangalore"
86766,New Kabab Zone, BBQ,200,4549,"bommanahalli, bangalore"
86767,China Twist,,250,371,"bommanahalli, bangalore"
86768,Get Cake'd, Fast Food,50,44,"basavanagudi, bangalore"
86809,L. J. Iyengar's Bakery,,150,387,"basavanagudi, bangalore"
86820,Ambur Chicken Biryani Hyderabadi Special, Chinese,125,33,"electronic city, bangalore"
86821,Porkeats, Fast Food,175,1143,"koramangala 6th block, bangalore"
86822,The Daily Bowl, Chinese,200,2142,"btm, bangalore"
86826,The Daily Bowl, Chinese,250,2142,"btm, bangalore"
86847,Annapurna Benne Dose,,75,119,"jp nagar, bangalore"
86848,Sweet Chariot,,200,687,"electronic city, bangalore"
86850,Sweet Chariot,,100,687,"electronic city, bangalore"
86854,Chettys Corner, Beverages,100,83,"majestic, bangalore"
86855,Empire Restaurant, Kebab,400,45800,"hsr, bangalore"
86865,Empire Restaurant, Kebab,100,45800,"hsr, bangalore"
86888,Elevate58, Arabian,275,368,"basaveshwara nagar, bangalore"
86889,Green Cravings,,250,10,"kammanahalli, bangalore"
86901,WOW! China, Seafood,200,103,"banashankari, bangalore"
86906,WOW! China, Seafood,300,103,"banashankari, bangalore"
86911,Cns Pastries,,200,4059,"uttarahalli, bangalore"
86912,Cream & Fudge, Fast Food,150,898,"nagawara, bangalore"
86914,Mad Over Donuts, Beverages,125,108,"rajajinagar, bangalore"
86915,Mad Over Donuts, Beverages,100,108,"rajajinagar, bangalore"
86931,North Indian Bhukkads - NIB, Street Food,450,9457,"nagawara, bangalore"
86932,North Indian Bhukkads - NIB, Street Food,150,9457,"nagawara, bangalore"
86933,Alpha Biryani, Chinese,200,1159,"whitefield, bangalore"
86951,Ghar Waali Baat,,100,58,"bommanahalli, bangalore"
86952,Kanti Bakes & Flakes, Mithai,50,818,"bannerghatta road, bangalore"
86969,Momo Zone - The Momo Company,,150,244,"domlur, bangalore"
86986,Dwaraka Grand, Street Food,200,8525,"kumaraswamy layout, bangalore"
87020,Starbucks Coffee, Desserts,300,327,"malleshwaram, bangalore"
87037,Raj Sweets,,50,103,"whitefield, bangalore"
87038,SGS Non Veg Gundu Palav,,200,222,"electronic city, bangalore"
87039,SGS Non Veg Gundu Palav,,150,222,"electronic city, bangalore"
87040,Blue Tokai Coffee Roasters, Healthy Food,300,758,"koramangala 8th block, bangalore"
87046,Mithai Factory,,150,95,"jp nagar, bangalore"
87047,Food Springs, Beverages,250,1095,"jayanagar, bangalore"
87048,The Good Food Restaurant, Chinese,200,251,"kalyan nagar, bangalore"
87088,BOX8 - Desi Meals, Fast Food,250,13500,"rajajinagar, bangalore"
87108,Empire Juices And Ice Creams, Shake,100,176,"shivajinagar, bangalore"
87138,Fruitbae,,200,26,"global village, mysore road, bangalore"
87139,MS Kabab Centre,,100,10,"banaswadi, bangalore"
87140,Natural Ice Cream,,150,1898,"kalyan nagar, bangalore"
87147,Natural Ice Cream,,350,1898,"kalyan nagar, bangalore"
87154,Halal Box,,200,4,"nagawara, bangalore"
87155,Ambur Biriyani,,150,77,"wilson garden, bangalore"
87157,Samosa Party,,100,2065,"brookefield, bangalore"
87171,Ipsha's Kitchen, Pizza,200,193,"rajajinagar, bangalore"
87172,Happy Belly Bakes, Cafe,200,874,"frazer town, bangalore"
87174,Happy Belly Bakes, Cafe,250,874,"frazer town, bangalore"
87175,Adukkala Restaurant, Chinese,300,5097,"kalyan nagar, bangalore"
87176,Adukkala Restaurant, Chinese,250,5097,"kalyan nagar, bangalore"
87177,Red Rhino, Asian,900,4756,"whitefield, bangalore"
87178,Naalnaad Mane,,150,113,"bannerghatta road, bangalore"
87179,Kadak Biryanis & Grill, North Indian,250,6263,"new bel road, bangalore"
87182,CANTAN - Chinese Bar House, Chinese,900,469,"lavelle road, bangalore"
87183,Sinful Desserts, Ice Cream,200,210,"bommasandra, bangalore"
87184,Cafe Coffee Day, Coffee,300,744,"bellandur, bangalore"
87194,Cafe Coffee Day, Coffee,250,744,"bellandur, bangalore"
87204,Sanadige - Goldfinch Hotel, Goan,600,298,"goldfinch hotel, seshadripuram, bangalore"
87205,Happetizer, Chinese,150,5,"kaggadasapura, bangalore"
87206,Veg Daawat By Behrouz, North Indian,300,6,"brookefield, bangalore"
87207,Veg Daawat By Behrouz, North Indian,400,6,"brookefield, bangalore"
87210,Veg Daawat By Behrouz, North Indian,450,6,"brookefield, bangalore"
87211,Veg Daawat By Behrouz, North Indian,500,6,"brookefield, bangalore"
87238,Mast Punjabi,,200,4856,"electronic city, bangalore"
87249,M Cafe - Bengaluru Marriott Hotel Whitefield, Italian,1250,240,"bengaluru marriott hotel whitefield, bangalore"
87253,Hyderabad Biryani House, Chinese,400,6144,"malleshwaram, bangalore"
87270,Tandoori Taal, Beverages,450,1131,"indiranagar, bangalore"
87271,Tandoori Taal, Beverages,400,1131,"indiranagar, bangalore"
87272,Sri Ayodhya Veg,,150,702,"basaveshwara nagar, bangalore"
87273,ibaco, Desserts,100,1125,"hsr, bangalore"
87280,Smoke House Deli Delivery, Burger,450,712,"bommanahalli, bangalore"
87281,The Dessert Zone,,200,197,"brookefield, bangalore"
87294,RK Fresh Food, Street Food,150,4290,"btm, bangalore"
87317,Salaam Sigri Rolls & Kebabs, Kebab,250,534,"new bel road, bangalore"
87318,Pizza Plutos, Sandwich,300,439,"new bel road, bangalore"
87319,Mealful Rolls - India's Biggest Rolls, North Indian,200,596,"bannerghatta road, bangalore"
87344,Wokanaka - The Casual Chinese Pitstop, Seafood,450,0,"whitefield, bangalore"
87352,Adda - The Restaurant, Chinese,225,1976,"bommanahalli, bangalore"
87354,Polar Bear, Shake,175,3801,"bannerghatta road, bangalore"
87365,Polar Bear, Shake,150,3801,"bannerghatta road, bangalore"
87373,Bramishree Nandi Grand, Chinese,175,599,"vijay nagar, bangalore"
87374,CakeWalk, Desserts,350,120,"indiranagar, bangalore"
87375,Indian Paratha Company, Beverages,200,15,"hennur, bangalore"
87376,Indian Paratha Company, Beverages,250,15,"hennur, bangalore"
87377,Robin Brown Ice Creams, Beverages,175,715,"rajajinagar, bangalore"
87378,Vera Italiano, Pasta,600,1118,"kalyan nagar, bangalore"
87379,Vaigai Vilas, Biryani,225,425,"btm, bangalore"
87381,Pizza Hut, Desserts,300,1013,"jp nagar, bangalore"
87399,Pizza Hut, Desserts,200,1013,"jp nagar, bangalore"
87404,Platform.65, Chinese,550,40,"bannerghatta road, bangalore"
87405,Earthen Delicacies, Chinese,350,1496,"jakkur, bangalore"
87406,Anjappar, Biryani,400,1298,"brigade road, bangalore"
87411,Anjappar, Biryani,200,1298,"brigade road, bangalore"
87413,New Friends, Chinese,450,639,"btm, bangalore"
87414,Stonelicious, Beverages,150,4360,"marathahalli, bangalore"
87417,Karnataka Bhel House, Beverages,100,886,"vijay nagar, bangalore"
87418,Karnataka Bhel House, Beverages,50,886,"vijay nagar, bangalore"
87421,PVR Café, Fast Food,200,65,"itpl main road, whitefield, bangalore"
87427,North Ka Thadka, Healthy Food,250,273,"btm, bangalore"
87428,The Sugar Free Keto Kafe - Artinci, Bakery,150,51,"kammanahalli, bangalore"
87435,Bangalore Kabab Centre, Kebab,100,80,"rt nagar, bangalore"
87446,Time Traveller - Sai Vishram, South Indian,700,1206,"electronic city, bangalore"
87447,Kheer Kadamb Bengali Sweets,,50,835,"whitefield, bangalore"
87448,Five Star Chicken, Rolls,150,6600,"jp nagar, bangalore"
87451,Five Star Chicken, Rolls,100,6600,"jp nagar, bangalore"
87468,Sweet Chariot Cafe, Fast Food,250,842,"residency road, bangalore"
87469,Moriz Nano Restaurant, Arabian,400,1183,"ulsoor, bangalore"
87470,Armani Kitchen, Rolls,150,513,"rt nagar, bangalore"
87471,The Indian Samosa, Fast Food,100,1631,"electronic city, bangalore"
87472,Falahaar & Kota Kachori, Fast Food,100,3099,"electronic city, bangalore"
87475,Falahaar & Kota Kachori, Fast Food,200,3099,"electronic city, bangalore"
87477,Falahaar & Kota Kachori, Fast Food,150,3099,"electronic city, bangalore"
87478,N Razakhiya Hotel,,125,352,"nagawara, bangalore"
87479,WarmOven Cake & Desserts, Ice Cream,250,4779,"electronic city, bangalore"
87493,Dakshin Delicacy, Chinese,150,2197,"yeshwantpur, bangalore"
87534,Shree Sagar, Chinese,150,47,"malleshwaram, bangalore"
87535,Firdaus Biryani, Mughlai,300,250,"electronic city, bangalore"
87536,Al Zara Mandi Arabian Restaurant, Mughlai,450,1746,"frazer town, bangalore"
87537,Hyderabadi Spice,,250,39500,"electronic city, bangalore"
87538,HRX By EatFit, Mediterranean,250,28,"kadubeesanahalli, bangalore"
87541,Spicy Darbar, Chinese,150,0,"rajajinagar, bangalore"
87542,East Delicious, Seafood,250,9344,"marathahalli, bangalore"
87543,Navaruchi Hotel, Chinese,300,41,"btm, bangalore"
87544,The Culinary Cat, Desserts,150,0,"kalyan nagar, bangalore"
87545,Rawchef,,150,41,"btm, bangalore"
87546,Dhaba - Estd 1986 Delhi, Desserts,1000,2250,"indiranagar, bangalore"
87548,Honey Special Cake,,250,83,"hsr, bangalore"
87565,Andhra Meal Express, Desserts,200,1893,"hsr, bangalore"
87566,India Sweet House,,150,106,"indiranagar, bangalore"
87567,India Sweet House,,50,106,"indiranagar, bangalore"
87568,India Sweet House,,100,106,"indiranagar, bangalore"
87595,Sri Udupi Food Hub,,150,1770,"koramangala 7th block, bangalore"
87596,Sri Udupi Food Hub,,200,1770,"koramangala 7th block, bangalore"
87597,Sri Udupi Food Hub,,275,1770,"koramangala 7th block, bangalore"
87603,Dawoods Kati Rolls,,150,1291,"hsr, bangalore"
87604,The Spicy Aroma, Bengali,300,163,"electronic city, bangalore"
87630,Chef Bakers, Pizza,200,86,"new bel road, bangalore"
87632,Chef Bakers, Pizza,150,86,"new bel road, bangalore"
87638,The Betel Leaf Co - Originally from Bangalore,,200,46,"rajarajeshwari nagar, bangalore"
87644,SLV Juice And Chat Center,,50,18,"vijay nagar, bangalore"
87645,Sattvam,,750,664,"whitefield, bangalore"
87648,Barbeque Nation, Biryani,800,1365,"ascendas park square, whitefield, bangalore"
87654,Barbeque Nation, Biryani,300,1365,"ascendas park square, whitefield, bangalore"
87661,Chettinad Chettiars, Beverages,200,38,"koramangala 8th block, bangalore"
87674,Mandara Grand, Chinese,150,1460,"rajarajeshwari nagar, bangalore"
87676,Food Ford Kitchen, Mughlai,250,864,"btm, bangalore"
87678,A Pinch Of Spice, Mughlai,250,395,"new bel road, bangalore"
87679,NH1 Bowls - Highway To North, Desserts,200,397,"banashankari, bangalore"
87699,Tea Villa Cafe, Chinese,600,363,"jayanagar, bangalore"
87711,Sree Fish Land @ 2511, Mangalorean,300,1168,"rajarajeshwari nagar, bangalore"
87722,Thalassery Restaurant, Chinese,350,8561,"kammanahalli, bangalore"
87723,Thalassery Restaurant, Chinese,400,8561,"kammanahalli, bangalore"
87724,Thalassery Restaurant, Chinese,325,8561,"kammanahalli, bangalore"
87725,Thalassery Restaurant, Chinese,250,8561,"kammanahalli, bangalore"
87726,Thalassery Restaurant, Chinese,150,8561,"kammanahalli, bangalore"
87736,UTSE Kitchen, Beverages,400,722,"commercial street, bangalore"
87737,Goli Vada Pav No. 1, Fast Food,125,649,"hsr, bangalore"
87746,Zwarma, Fast Food,150,94,"ulsoor, bangalore"
87747,Zwarma, Fast Food,125,94,"ulsoor, bangalore"
87748,Ovenstory Pizza,,300,5047,"indiranagar, bangalore"
87767,Aroma Cafe & Restaurant, Chinese,250,6,"electronic city, bangalore"
87768,Andhra Kitchen,,200,3271,"electronic city, bangalore"
87769,Andhra Kitchen,,50,3271,"electronic city, bangalore"
87771,Mondelice Cakes,,150,129,"kr puram, bangalore"
87772,Savji's Roll 'N' Biryani, South Indian,200,15500,"vijay nagar, bangalore"
87773,Ledikeni Sweets & Savouries, Street Food,100,1134,"marathahalli, bangalore"
87774,MOJO Pizza - 2X Toppings, Desserts,250,9382,"kammanahalli, bangalore"
87794,Cupcake Bliss Cakes & Desserts,,300,1734,"indiranagar, bangalore"
87800,Cupcake Bliss Cakes & Desserts,,150,1734,"indiranagar, bangalore"
87807,Burger Shop,,100,120,"whitefield, bangalore"
87808,Amritsari Haveli, Desserts,300,57,"brookefield, bangalore"
87809,HomeSe Just Veg,,150,878,"majestic, bangalore"
87815,Nivys Resto Cafe, Healthy Food,500,12,"hsr, bangalore"
87816,Namma Pizza Adda, Beverages,175,0,"bommasandra, bangalore"
87817,McDonald's, Beverages,200,8087,"new bel road, bangalore"
87839,Biryani Blues, Hyderabadi,250,213,"basavanagudi, bangalore"
87845,Biryani Blues, Hyderabadi,200,213,"basavanagudi, bangalore"
87853,Kake Di Hatti, Rolls,250,220,"kanakapura road, bangalore"
87854,Kake Di Hatti, Rolls,500,220,"kanakapura road, bangalore"
87855,Trattoria By Toscano, Healthy Food,300,575,"malleshwaram, bangalore"
87856,Trattoria By Toscano, Healthy Food,350,575,"malleshwaram, bangalore"
87860,NOTO - Healthy Ice Cream, Desserts,100,148,"kr puram, bangalore"
87874,Apna Punjabi Dhaba, Beverages,175,0,"rt nagar, bangalore"
87875,Copper Chimney, Biryani,350,569,"whitefield, bangalore"
87878,Udupi Sri Krisna Vaibhava, Chinese,250,410,"jayanagar, bangalore"
87879,Keventers Ice Cream, Shake,150,16,"kalyan nagar, bangalore"
87891,Go Italia, Continental,400,322,"hsr, bangalore"
87892,Food Connections, Shake,100,325,"whitefield, bangalore"
87894,Biryani Mount,,300,623,"banashankari, bangalore"
87904,Great Indian Khichdi by EatFit, Ice Cream,150,604,"sarjapur road, bangalore"
87916,Magnolia Bakery,,150,4444,"indiranagar, bangalore"
87917,Magnolia Bakery,,300,4444,"indiranagar, bangalore"
87933,Swad 'E' Punjab, Fast Food,450,2340,"electronic city, bangalore"
87934,Punjabi Nawabi, Mughlai,400,30000,"bannerghatta road, bangalore"
87935,Punjabi Nawabi, Mughlai,200,30000,"bannerghatta road, bangalore"
87955,Keventers - Milkshakes & Desserts, Ice Cream,250,1932,"varthur main road, whitefield, bangalore"
87959,Keventers - Milkshakes & Desserts, Ice Cream,200,1932,"varthur main road, whitefield, bangalore"
87969,Beijing Bites, Seafood,400,12100,"electronic city, bangalore"
87978,Beijing Bites, Seafood,250,12100,"electronic city, bangalore"
87988,Kolapasi, North Indian,150,44,"brookefield, bangalore"
87989,Chung's,,200,46,"electronic city, bangalore"
88012,Karnataka Chicken Biryani Point, Chinese,150,681,"basaveshwara nagar, bangalore"
88017,Gourmet Ice Cream Cakes By Baskin Robbins, Ice Cream,150,18,"old airport road, bangalore"
88031,Udupi Uphara, Street Food,100,6374,"jalahalli, bangalore"
88032,Hatti Punjab Di, Fast Food,100,9901,"electronic city, bangalore"
88045,The Fruit Bowl,,150,1385,"btm, bangalore"
88066,Royal Paradise, South Indian,200,77,"new bel road, bangalore"
88067,Kwality Wall’s Frozen Dessert &  Ice Cream Shop,,100,692,"sadashiv nagar, bangalore"
88068,High n Hungry, Biryani,200,3936,"btm, bangalore"
88069,Just Shawarma, Beverages,150,2924,"total mall, sarjapur road, bangalore"
88070,Just Shawarma, Beverages,100,2924,"total mall, sarjapur road, bangalore"
88072,Just Shawarma, Beverages,200,2924,"total mall, sarjapur road, bangalore"
88079,Agarwal Restaurant, Shake,150,85,"bannerghatta road, bangalore"
88080,Iyengar's Bakery, Fast Food,100,94,"jp nagar, bangalore"
88081,Sunny's, Seafood,1050,121,"lavelle road, bangalore"
88082,Lazio Steaks & More, Steak,500,396,"frazer town, bangalore"
88083,New Darbar Family Restaurant, Mughlai,200,14,"sankey road, bangalore"
88084,New Darbar Family Restaurant, Mughlai,225,14,"sankey road, bangalore"
88085,Kadai, South Indian,325,2178,"basaveshwara nagar, bangalore"
88088,Singh Da Punjabi Dhaba,,100,966,"thippasandra, bangalore"
88092,Raghanna  Military  Hotel, Mughlai,150,56,"kalyan nagar, bangalore"
88093,INOX,,250,8,"jp nagar, bangalore"
88097,Burger King, Beverages,200,4648,"marathahalli, bangalore"
88114,Chinese Wok, Sichuan,250,876,"kalyan nagar, bangalore"
88140,Corner House Ice Creams, Shake,150,2328,"basavanagudi, bangalore"
88152,Ghee Tadka Khichdi,,100,239,"whitefield, bangalore"
88159,Udupi Kitchen, Street Food,150,1426,"vijay nagar, bangalore"
88160,Udupi Kitchen, Street Food,200,1426,"vijay nagar, bangalore"
88169,Bake and Juice, Burger,200,14400,"hosur road, bangalore"
88177,Grills N Barbeque, Biryani,200,35,"electronic city, bangalore"
88178,La Pino'z Pizza,,550,22100,"koramangala 4th block, bangalore"
88180,La Pino'z Pizza,,200,22100,"koramangala 4th block, bangalore"
88181,La Pino'z Pizza,,250,22100,"koramangala 4th block, bangalore"
88182,La Pino'z Pizza,,225,22100,"koramangala 4th block, bangalore"
88186,Hotel Manu, Chinese,300,5936,"whitefield, bangalore"
88187,Hotel Manu, Chinese,200,5936,"whitefield, bangalore"
88188,Hungry Chang, Sichuan,200,726,"hsr, bangalore"
88197,A Tiny Kitchen,,250,855,"btm, bangalore"
88198,RNR Biryani - Taste Of 1953, Andhra,250,533,"kammanahalli, bangalore"
88203,RNR Biryani - Taste Of 1953, Andhra,350,533,"kammanahalli, bangalore"
88219,Kabab Corner, Kebab,150,294,"rt nagar, bangalore"
88220,Shankar Fish Land,,100,372,"rt nagar, bangalore"
88221,Desi Vdesi, Beverages,150,469,"shanti nagar, bangalore"
88238,The Mangalorean, North Indian,400,2155,"kammanahalli, bangalore"
88240,Curry Leaves, Oriental,400,56,"jayanagar, bangalore"
88241,Curry Leaves, Oriental,600,56,"jayanagar, bangalore"
88242,Manam Andhra Foods, Andhra,200,110,"koramangala 2nd block, bangalore"
88243,Cake Delight,,150,301,"sahakara nagar, bangalore"
88244,Noodle House, Biryani,100,69,"seshadripuram, bangalore"
88245,Apsara Ice Creams,,100,261,"kalyan nagar, bangalore"
88246,Apsara Ice Creams,,200,261,"kalyan nagar, bangalore"
88257,Snaack Shop, Sandwich,150,204,"shivajinagar, bangalore"
88258,Paradise Restaurant, Rolls,150,378,"jalahalli, bangalore"
88279,DA Ying Yang Cuisines, Sichuan,175,1576,"vasanth nagar, bangalore"
88292,Chinita Real Mexican Food, Beverages,600,984,"indiranagar, bangalore"
88295,Skyline Pizzeria, Pizza,300,2031,"jp nagar, bangalore"
88319,Nisarga, Chinese,225,2733,"vijay nagar, bangalore"
88364,Beyond The Crust - BTC, Desserts,200,1218,"btm, bangalore"
88365,Tandoor, Kebab,1000,460,"mg road, bangalore"
88366,Apple Villa Restaurant, Mughlai,250,6,"shanti nagar, bangalore"
88367,Chinese Hot, Sichuan,250,67,"vasanth nagar, bangalore"
88368,Rolls & Bowls Company, Desserts,250,33,"hosur road, bangalore"
88381,Yummy Adda, North Indian,150,3,"whitefield, bangalore"
88382,Shyvan Restaurant, Fast Food,275,173,"shanti nagar, bangalore"
88383,Abees Mess, Biryani,200,294,"btm, bangalore"
88384,Coastal Biryani Paradise, Biryani,250,5974,"rt nagar, bangalore"
88385,Restaurant 1179, Chinese,200,154,"seshadripuram, bangalore"
88414,Prowl Foods By Tiger Shroff, Healthy Food,250,185,"sarjapur road, bangalore"
88420,Kati Roll Walla, Desserts,150,312,"hsr, bangalore"
88421,Church Street Social, Biryani,750,1169,"church street, bangalore"
88422,Sri Udupi Food Hub, Biryani,150,1770,"koramangala 7th block, bangalore"
88423,Sri Udupi Food Hub, Biryani,200,1770,"koramangala 7th block, bangalore"
88424,Sri Udupi Food Hub, Biryani,275,1770,"koramangala 7th block, bangalore"
88460,Chinese BAE, Momos,250,535,"kammanahalli, bangalore"
88466,The Hungry Himalayan,,250,9,"whitefield, bangalore"
88467,Mainland China, Sushi,500,561,"sarjapur road, bangalore"
88468,Mainland China, Sushi,900,561,"sarjapur road, bangalore"
88476,Yak's Kitchen, Chinese,300,517,"shanti nagar, bangalore"
88477,Chung Wah, Vietnamese,400,3471,"new bel road, bangalore"
88485,Kulfi Shulfi- Kulfis and Ice Cream,,100,41,"btm, bangalore"
88495,Kulfi Shulfi- Kulfis and Ice Cream,,75,41,"btm, bangalore"
