Restaurant,Cusines_all,price_for_one,delivery_review_number,location
Haka,Chinese,300,506,"electronic city, bangalore"
MDP Coffee House,South Indian,100,3895,"electronic city, bangalore"
MDP Coffee House,South Indian,50,3895,"electronic city, bangalore"
Bombay 99 Variety Dosa And Juice,South Indian,150,3,"btm, bangalore"
Texas Burgers,Burger,200,3239,"bommanahalli, bangalore"
Pork@Night,North Indian,250,77,"whitefield, bangalore"
Bismillah Hotel,Biryani,200,7,"hsr, bangalore"
Bismillah Hotel,Biryani,100,7,"hsr, bangalore"
California Burrito,Mexican,150,3660,"sigma mall, cunningham road, bangalore"
Drooling Delight Restaurant,North Indian,150,22,"electronic city, bangalore"
Dande's Hyderabad Biryani,Andhra,200,682,"new bel road, bangalore"
Gudbud,Ice Cream,150,4220,"ejipura, bangalore"
Godavari Tales,Biryani,300,248,"brookefield, bangalore"
Chhotu Chai Point,Street Food,100,38,"banaswadi, bangalore"
Basmati Biriyani Nation,Biryani,200,8419,"whitefield, bangalore"
KFC,Burger,200,14400,"marathahalli, bangalore"
KFC,Burger,250,14400,"marathahalli, bangalore"
Pork Dine Out,North Indian,200,104,"whitefield, bangalore"
FreshMenu,Continental,250,21900,"bellandur, bangalore"
Mani's Dum Biryani,Biryani,375,10800,"koramangala 5th block, bangalore"
Mani's Dum Biryani,Biryani,300,10800,"koramangala 5th block, bangalore"
Truffles,Burger,450,1945,"new bel road, bangalore"
Truffles,Burger,200,1945,"new bel road, bangalore"
LeanCrust Pizza- ThinCrust Experts,Pizza,400,327,"banashankari, bangalore"
New Krishna Sagar,South Indian,150,23600,"jakkur, bangalore"
New Krishna Sagar,South Indian,275,23600,"jakkur, bangalore"
Saffron Vegetarian Cuisine,North Indian,350,2446,"banaswadi, bangalore"
Desserted,Cafe,375,90,"vasanth nagar, bangalore"
Tummy Full,South Indian,100,945,"whitefield, bangalore"
Mahadev Sweets & Chaats,Mithai,100,928,"hebbal, bangalore"
Yummy Momos,Momos,150,377,"kaggadasapura, bangalore"
Zomoz - The Momo Company,Momos,200,746,"sarjapur road, bangalore"
Parampara - The Veg Kitchen,North Indian,175,4020,"electronic city, bangalore"
Krispy Kreme,Desserts,200,888,"richmond road, bangalore"
Lakshmi Refreshments,South Indian,50,16,"electronic city, bangalore"
All Day Breakfast,South Indian,150,8,"koramangala 1st block, bangalore"
Donne Biriyani Angadi Mane,South Indian,125,3065,"rajajinagar, bangalore"
Raaj's Dakshin Ruchi,South Indian,100,35,"rajajinagar, bangalore"
Absolute Shawarma,Lebanese,100,1244,"kumaraswamy layout, bangalore"
Absolute Shawarma,Lebanese,150,1244,"kumaraswamy layout, bangalore"
Domino's Pizza,Pizza,200,1965,"mg road, bangalore"
Express By ABs,North Indian,400,361,"yeshwantpur, bangalore"
Express By ABs,North Indian,200,361,"yeshwantpur, bangalore"
Express By ABs,North Indian,350,361,"yeshwantpur, bangalore"
