Restaurant,Cusines_all,price_for_one,delivery_review_number,location
Chinese Spot,Chinese,150,271,"marathahalli, bangalore"
Ambur RR Biriyani,Biryani,100,432,"bommasandra, bangalore"
JC Eateries And Frozen Food,Chinese,150,158,"sahakara nagar, bangalore"
A1 Biryani Point,Chinese,50,7,"indiranagar, bangalore"
Goplajee Cafe,Street Food,150,60,"hsr, bangalore"
Nana's Biryani & Kebab,Biryani,200,2413,"rammurthy nagar, bangalore"
Ranganna Military Hotel,South Indian,175,3837,"jayanagar, bangalore"
Grill Biryanis,Biryani,150,1204,"malleshwaram, bangalore"
Brik Oven,Pizza,500,717,"santosh tower, whitefield, bangalore"
Brik Oven,Pizza,250,717,"santosh tower, whitefield, bangalore"
AB's - Absolute Barbecues,North Indian,700,825,"yeshwantpur, bangalore"
Rice Noodles,Chinese,250,236,"hsr, bangalore"
Rice Noodles,Chinese,125,236,"hsr, bangalore"
Rice Noodles,Chinese,150,236,"hsr, bangalore"
Bombay Pav Bhaji And Tawa Pulao,Street Food,250,249,"btm, bangalore"
Agrawal's Matru Bhog,North Indian,175,38,"bannerghatta road, bangalore"
Rockin Burgers,Burger,250,40,"sanjay nagar, bangalore"
Limelight - Royal Orchid Hotel,Asian,1100,1045,"royal orchid hotel,  old airport road, bangalore"
Desi Curry Asli Desi Swaad,North Indian,150,310,"jp nagar, bangalore"
Cane Hut,Burger,100,27,"btm, bangalore"
Cane Hut,Burger,150,27,"btm, bangalore"
Razakhiya Hotel,Rolls,200,6976,"hbr layout, bangalore"
Vinaya Cafe,Biryani,200,224,"jayanagar, bangalore"
Vinaya Cafe,Biryani,175,224,"jayanagar, bangalore"
Vinaya Cafe,Biryani,100,224,"jayanagar, bangalore"
Bangarpete Chats,Street Food,50,390,"basaveshwara nagar, bangalore"
Shreyas Pork And Chicken Hotel,North Indian,50,0,"whitefield, bangalore"
ABC Tandoori House,North Indian,250,1,"brigade road, bangalore"
Myra's Kitchen,North Indian,100,205,"brookefield, bangalore"
Mirchi Maharaj,Chinese,225,918,"hsr, bangalore"
Udupi Grand Veg,South Indian,200,34700,"marathahalli, bangalore"
Grand Foodies Restaurant,Biryani,175,42,"vasanth nagar, bangalore"
Grand Foodies Restaurant,Biryani,225,42,"vasanth nagar, bangalore"
Biggies Burger,Fast Food,150,1595,"hsr, bangalore"
Karnataka Biryani Paradise,Biryani,200,7047,"nagarbhavi, bangalore"
Brindavan Grand,North Indian,400,667,"varthur main road, whitefield, bangalore"
RR Donne Biryani,Biryani,200,0,"nagarbhavi, bangalore"
SK Biryani Kitchen,Biryani,150,2,"kr puram, bangalore"
Shawarma Grill Point,Lebanese,150,46,"hebbal, bangalore"
Meal & Paratha Express,North Indian,200,4,"jp nagar, bangalore"
Nando's,Burger,400,2298,"orion mall, malleshwaram, bangalore"
Nando's,Burger,300,2298,"orion mall, malleshwaram, bangalore"
Navras,North Indian,150,1791,"brookefield, bangalore"
KC Das - Sweet Bite,Mithai,150,463,"frazer town, bangalore"
Mr. Momo,Momos,150,109,"ulsoor, bangalore"
Elays Restaurant,South Indian,125,6,"btm, bangalore"
Excelfood,Street Food,100,0,"rammurthy nagar, bangalore"
And It Was Called Yellow,North Indian,400,79,"sahakara nagar, bangalore"
Mayura Bakery & Sweets,Mithai,100,842,"itpl main road, whitefield, bangalore"
Karachi Bakery,Bakery,250,625,"kalyan nagar, bangalore"
Thatte Idli Joint,South Indian,75,15,"frazer town, bangalore"
Sri Krishna Bhavan Sweets,Mithai,125,18,"sanjay nagar, bangalore"
Fabelle Chocolates - WelcomHotel By ITC Hotels,Desserts,100,20,"welcomhotel by itc hotels, richmond road, bangalore"
Addiction,American,250,2149,"vijay nagar, bangalore"
Biryani Bandhan,North Indian,200,0,"whitefield, bangalore"
Simply Veg,South Indian,100,3088,"bommasandra, bangalore"
Simply Veg,South Indian,400,3088,"bommasandra, bangalore"
The Royal Corner - Pai Viceroy,North Indian,450,645,"jayanagar, bangalore"
Rotti Mane,South Indian,75,350,"basaveshwara nagar, bangalore"
Burgermeister,Burger,150,711,"hsr, bangalore"
Al Umair Kitchen,North Indian,200,32,"yeshwantpur, bangalore"
Desi Delights,Fast Food,150,0,"marathahalli, bangalore"
Banashankari Donne Biryani,Biryani,200,68,"btm, bangalore"
Parijata Pure Veg,South Indian,150,150,"richmond town, bangalore"
Imperio Juice & Cafe,Beverages,200,2450,"kalyan nagar, bangalore"
Imperio Juice & Cafe,Beverages,150,2450,"kalyan nagar, bangalore"
Mamaji Pav Bhaji,Street Food,150,60,"electronic city, bangalore"
The Celebration Cakes And Desserts,Bakery,300,41,"malleshwaram, bangalore"
The Tiffin Tales,South Indian,100,107,"kalyan nagar, bangalore"
Bigbites,Fast Food,200,296,"basaveshwara nagar, bangalore"
Zoya Kabab Centre,Kebab,200,5,"nagawara, bangalore"
Gopaljee Cafe,Street Food,150,1202,"brookefield, bangalore"
The Sugar Free Keto Kafe - By Artinci,Desserts,150,132,"koramangala 1st block, bangalore"
Oh! Calcutta,Bengali,500,1062,"whitefield, bangalore"
Oh! Calcutta,Bengali,400,1062,"whitefield, bangalore"
Oh! Calcutta,Bengali,750,1062,"whitefield, bangalore"
Neelanjanam North Karnataka's Veg Divine,North Indian,150,897,"vijay nagar, bangalore"
Punjabi Darbar Pure Veg,North Indian,150,161,"electronic city, bangalore"
Bismilla Vaniyambadi Biriyani,Biryani,125,6,"domlur, bangalore"
Shahiraaz Biryani And Kebabs,Biryani,200,5,"sarjapur road, bangalore"
Srini's Float In Chat,Street Food,100,16,"banashankari, bangalore"
Chamarajpet Dose Corner,South Indian,50,224,"city market, bangalore"
Bombay Vadapav And Rolls Corner,Maharashtrian,75,9,"sahakara nagar, bangalore"
New Rihan Briyani Point,Biryani,100,340,"rammurthy nagar, bangalore"
Calcutta Victoria Chat House,Street Food,100,946,"rt nagar, bangalore"
Simon Says Brew Works,Finger Food,800,16,"building 105, koramangala 5th block, bangalore"
Hongkong Noodles,Chinese,250,3309,"rammurthy nagar, bangalore"
Bengaluru Urban Cafe,Fast Food,200,25,"new bel road, bangalore"
Mother's Meal,North Indian,150,4716,"cv raman nagar, bangalore"
Paratha Varatha,North Indian,150,8,"hsr, bangalore"
New Alphaa Family Restaurant,Chinese,275,484,"bommanahalli, bangalore"
Fnp Cakes 'N' More,Bakery,300,34,"whitefield, bangalore"
Mid-Night Crunch,North Indian,150,15200,"hosur road, bangalore"
Happy Ice-Creams,Desserts,100,840,"new bel road, bangalore"
Papa Roll's,Fast Food,100,1815,"yeshwantpur, bangalore"
Taaka Chinese,Chinese,200,0,"itpl main road, whitefield, bangalore"
Madurai Parotta House,North Indian,100,1070,"whitefield, bangalore"
Punjabi Zaica,Chinese,250,182,"jp nagar, bangalore"
Raghavendra Upahara,South Indian,100,784,"jayanagar, bangalore"
Tasty Thindi,South Indian,150,2282,"bannerghatta road, bangalore"
Kutty Shaap,Kerala,200,1001,"hsr, bangalore"
Garden Fresh,Juices,100,1243,"hsr, bangalore"
GK Chats & Snacks,Street Food,100,73,"basaveshwara nagar, bangalore"
The Old Madras Baking Company,Bakery,250,424,"new bel road, bangalore"
Aalishan Restaurant & Caterer,North Indian,325,2256,"koramangala 7th block, bangalore"
Kumarakom The Restaurant,North Indian,350,3447,"hsr, bangalore"
Meone Kitchen,Chinese,200,131,"kumaraswamy layout, bangalore"
The Biryani@99,Biryani,150,137,"banaswadi, bangalore"
Mane Holige,Mithai,50,486,"basaveshwara nagar, bangalore"
Mane Holige,Mithai,100,486,"basaveshwara nagar, bangalore"
Udupi Sagar,South Indian,200,658,"city market, bangalore"
Ac’lyrics,Seafood,450,205,"svenska design hotel, electronic city, bangalore"
Lemon Leaf,North Indian,400,3699,"whitefield, bangalore"
Antarastriya,Chinese,200,4069,"rajajinagar, bangalore"
Paris Restaurantca,Chinese,100,8,"sanjay nagar, bangalore"
Motis Kitchen,South Indian,175,26100,"thippasandra, bangalore"
Village Donne Biryani,Biryani,150,3676,"koramangala 5th block, bangalore"
Raj Donne Biriyani Mane,South Indian,275,1287,"rajajinagar, bangalore"
Top Star Ambur Dum Biryani,Biryani,150,897,"jalahalli, bangalore"
Khan Saheb Grills & Rolls,North Indian,250,337,"marathahalli, bangalore"
Mint Magic Cafe,Fast Food,350,209,"vijay nagar, bangalore"
Biryani Mandi,Biryani,150,393,"electronic city, bangalore"
Mr. Biriyani,Biryani,500,172,"hsr, bangalore"
Donner Rolls,Rolls,150,2,"basavanagudi, bangalore"
Voosh Thalis & Bowls,North Indian,200,16,"btm, bangalore"
Voosh Thalis & Bowls,North Indian,150,16,"btm, bangalore"
Wrap It Up Rolls And More,Rolls,125,10,"btm, bangalore"
Say Cheese! Pizza,Pizza,250,53,"jp nagar, bangalore"
GFC Dum Biriyani,Biryani,175,22,"kr puram, bangalore"
Chaitra Restaurant,North Indian,250,4687,"kalyan nagar, bangalore"
Fire Station,Finger Food,700,1865,"electronic city, bangalore"
Sri Vasavi Chats,Italian,100,95,"jayanagar, bangalore"
Hokart Neema Thindi Mane,South Indian,75,3,"whitefield, bangalore"
Omleterian,Sandwich,250,718,"whitefield, bangalore"
Kathi Roll Kitchen,Rolls,150,15,"jalahalli, bangalore"
Udupi Krishna Grand,South Indian,250,2937,"kalyan nagar, bangalore"
Samrudh Veg,South Indian,100,329,"cunningham road, bangalore"
Moms Momo,Fast Food,100,2,"btm, bangalore"
Canyin Kitchen,South Indian,200,1,"marathahalli, bangalore"
Sri Ganesh Darshini,South Indian,100,214,"old airport road, bangalore"
Brown Burger Co.,American,150,47,"basaveshwara nagar, bangalore"
Ami N Amie,Chinese,200,1761,"hennur, bangalore"
Nomad Pizza - Traveller Series,Pizza,200,210,"whitefield, bangalore"
Pallavi North Indian Veg Restaurant,North Indian,200,17700,"jp nagar, bangalore"
Biryani & Spice,Biryani,200,2,"electronic city, bangalore"
Nomad Pizza - Traveller Series,Beverages,200,210,"whitefield, bangalore"
100% EGG.Com,Fast Food,100,148,"new bel road, bangalore"
Eating Matters,Biryani,200,202,"btm, bangalore"
Pai Vihar,South Indian,150,729,"vasanth nagar, bangalore"
G.H.S Nonveg,South Indian,150,8,"city market, bangalore"
Shetty Lunch Home,Mangalorean,650,583,"jayanagar, bangalore"
Manjit Da Dhaba,North Indian,100,2559,"frazer town, bangalore"
Aarav De Cuisine,Chinese,275,1033,"jalahalli, bangalore"
Anytime Maggi,Street Food,100,47,"rajarajeshwari nagar, bangalore"
Prajwal The Restaurant,Chinese,150,4365,"marathahalli, bangalore"
Roostys Hub,Arabian,150,22,"electronic city, bangalore"
Dhaba Square,North Indian,200,923,"whitefield, bangalore"
Orange The Juice Generation,Juices,100,150,"banashankari, bangalore"
Gelato Italiano,Ice Cream,150,31,"vega city, bannerghatta road, bangalore"
Malabar Bay,Kerala,400,9149,"btm, bangalore"
The Snackstop - Eswaris Homemade Snacks,Street Food,150,155,"indiranagar, bangalore"
B.R. Varrior Bake House & Sweets,Bakery,100,203,"jalahalli, bangalore"
Quaranteens Cafe,Fast Food,100,382,"kumaraswamy layout, bangalore"
Brindavan Upachar,South Indian,125,297,"kammanahalli, bangalore"
Yohan Kitchen,Biryani,100,8,"ejipura, bangalore"
Handi Biryani,Hyderabadi,300,4336,"marathahalli, bangalore"
The Fahad's,Chinese,150,205,"electronic city, bangalore"
World On A Plate - Citrine Hotel,Continental,600,157,"citrine hotel, seshadripuram, bangalore"
Nasi And Mee,Asian,450,458,"brookefield, bangalore"
Nasi And Mee,Asian,600,458,"brookefield, bangalore"
Nasi And Mee,Asian,500,458,"brookefield, bangalore"
The Dessert Heaven - Pure Veg,Desserts,300,91,"koramangala 6th block, bangalore"
The Dessert Heaven - Pure Veg,Desserts,100,91,"koramangala 6th block, bangalore"
The Dessert Heaven - Pure Veg,Desserts,200,91,"koramangala 6th block, bangalore"
Ara Fusion Kitchen,Fast Food,200,2,"electronic city, bangalore"
Karim's Delhi 6,Mughlai,400,662,"st. marks road, bangalore"
Juice Junction & Snacks,Fast Food,200,519,"jayanagar, bangalore"
An Egg Story,Fast Food,300,1067,"banaswadi, bangalore"
Anam Restaurant,Biryani,100,0,"hosur road, bangalore"
Alfhams N Kabab,North Indian,200,2268,"banaswadi, bangalore"
Sip N Dine,North Indian,400,558,"vijay nagar, bangalore"
Shree Khana Khazana,North Indian,200,4956,"hsr, bangalore"
Mint Masala,Chinese,400,719,"sadashiv nagar, bangalore"
Thengapool,Kerala,150,764,"electronic city, bangalore"
Khawar Ashe Pashe,Bengali,150,1784,"kr puram, bangalore"
Donne Biryani @99,Biryani,100,2898,"kalyan nagar, bangalore"
Taste Of Kolkata,Biryani,250,396,"new bel road, bangalore"
In Wok,Chinese,600,506,"richmond road, bangalore"
Angel Mutton Leg Soup,South Indian,100,445,"thippasandra, bangalore"
The Firewood Pizza,Pizza,250,1444,"btm, bangalore"
Sri Sai Durga Coffee Point,South Indian,225,1030,"nagarbhavi, bangalore"
Lungees Foods,Kerala,200,2727,"sarjapur road, bangalore"
Midnight Hunger Solutions 24/7,North Indian,150,5864,"indiranagar, bangalore"
Mangalore Sea Palate,North Indian,300,1572,"jayanagar, bangalore"
Sri Rajarajeshwari Iyer Mess,South Indian,125,731,"malleshwaram, bangalore"
Fisherwoman,Chettinad,300,394,"bellandur, bangalore"
Fresca,Fast Food,200,255,"brookefield, bangalore"
New Biryani Hotel,Biryani,150,176,"electronic city, bangalore"
The Meals Junction,North Indian,150,29,"sanjay nagar, bangalore"
Kutty's Pizzeria,Pizza,200,38,"kammanahalli, bangalore"
Miya Bhai Barbeques,North Indian,150,53,"btm, bangalore"
Poha House,Street Food,75,7398,"btm, bangalore"
Sri Raghavendra Sagar,South Indian,150,146,"hebbal, bangalore"
Veggie's Paradise,North Indian,100,4,"cv raman nagar, bangalore"
Jalpaan,North Indian,450,1578,"jayanagar, bangalore"
Café Voosh,Burger,200,7,"electronic city, bangalore"
Café Voosh,Burger,150,7,"electronic city, bangalore"
Glen's Bake House,Bakery,400,1417,"kalyan nagar, bangalore"
Sr Ambur Dum Biryani,Biryani,125,1014,"electronic city, bangalore"
Taste Of Tibet,Chinese,200,2132,"brigade road, bangalore"
Taste Of Tibet,Chinese,150,2132,"brigade road, bangalore"
Lassi Ghat,Beverages,100,229,"jayanagar, bangalore"
Swagat Restaurant,North Indian,150,226,"rajajinagar, bangalore"
Hotel MLV Grand - A Multicuisine Restaurant,North Indian,400,3100,"jalahalli, bangalore"
Good Fettle - Healthy Ice Cream,Ice Cream,150,95,"jp nagar, bangalore"
Gods Own Cafe,South Indian,150,567,"koramangala 7th block, bangalore"
Bhavani Chats N Juice,Beverages,100,1586,"jayanagar, bangalore"
Mud Cups,Fast Food,100,23,"bommanahalli, bangalore"
Bangarpet Chats And Cane Juice,Juices,50,169,"nagawara, bangalore"
Lassi & Bites,Fast Food,100,600,"new bel road, bangalore"
IBC - Indian Biryani Company,Biryani,250,3129,"hsr, bangalore"
SL Vadapav,Street Food,50,15400,"jayanagar, bangalore"
Tripti Hotel & Restaurant,Bengali,150,6763,"new bel road, bangalore"
Fanoos,Rolls,200,1767,"frazer town, bangalore"
Pizza Capers,Fast Food,200,12,"indiranagar, bangalore"
Yum Yum Kolkata,Bengali,200,469,"jeevan bhima nagar, bangalore"
Pappu Chaiwalla,North Indian,175,55,"yelahanka, bangalore"
B2H - Biryani 2 Home,North Indian,200,399,"whitefield, bangalore"
B2H - Biryani 2 Home,North Indian,225,399,"whitefield, bangalore"
Burger@49,Burger,100,71,"basaveshwara nagar, bangalore"
Kebarbiq Restaurant,BBQ,400,2503,"hsr, bangalore"
Nati Style Grand,North Indian,150,0,"banashankari, bangalore"
Uru Brewpark,Italian,1000,2142,"jp nagar, bangalore"
Thali's Perfect,North Indian,150,332,"bellandur, bangalore"
Nasco Restaurant Kabab Center,South Indian,375,417,"bommanahalli, bangalore"
Namma Madurai Militri,South Indian,100,196,"gopalan innovation mall, bannerghatta, bangalore"
Odia Style Jhal Muri Center,Street Food,100,18,"kammanahalli, bangalore"
Hotel Revoli Inn,Chinese,200,1698,"shanti nagar, bangalore"
Parkview,South Indian,200,5816,"jp nagar, bangalore"
Nammur Donne Biryani,Biryani,150,266,"frazer town, bangalore"
Hokart Sri Mulkattamma Krupe,Street Food,150,3,"hsr, bangalore"
Jeni's Kitchen,Biryani,200,3136,"bommanahalli, bangalore"
New Sukhi Sagar,South Indian,125,444,"basaveshwara nagar, bangalore"
Delhi 6 Chandni Chowk,North Indian,250,1004,"kaggadasapura, bangalore"
Thattukada - Kerala Street Food,Kerala,75,158,"thippasandra, bangalore"
Imperio Restaurant,Mughlai,150,3349,"electronic city, bangalore"
Imperio Restaurant,Mughlai,400,3349,"electronic city, bangalore"
Isiri Cafe,South Indian,175,1348,"bannerghatta road, bangalore"
Nashta Wasta,Street Food,150,2,"hsr, bangalore"
Rolls And Chicken Combos,North Indian,250,508,"shanti nagar, bangalore"
Nizam's Biryani House,Biryani,350,19500,"marathahalli, bangalore"
My Bowl,North Indian,250,81,"electronic city, bangalore"
New Donne Biryani Mane,Biryani,200,1535,"kanakapura road, bangalore"
Tharavadu,Chinese,200,471,"koramangala 5th block, bangalore"
Tharavadu,Chinese,250,471,"koramangala 5th block, bangalore"
Candy Cloud Factory,Desserts,150,141,"basavanagudi, bangalore"
Tasty Paradise,North Indian,275,1446,"malleshwaram, bangalore"
Insanitea Cafe,Bengali,125,6,"sarjapur road, bangalore"
Oh! Bambai,North Indian,175,11,"basavanagudi, bangalore"
Biryani Day,North Indian,350,35900,"marathahalli, bangalore"
Namaste Kolkata Kati Rolls,Rolls,100,40,"hsr, bangalore"
Banana Plate,Kerala,200,6,"whitefield, bangalore"
JSP Noble Cane juice,Juices,100,29,"electronic city, bangalore"
Bakeovers By Saira,Pizza,300,149,"kalyan nagar, bangalore"
The Cake Chef,Bakery,350,900,"bannerghatta road, bangalore"
Augusta Cafe,North Indian,200,0,"jp nagar, bangalore"
New Cool Joint,Sandwich,100,7458,"sarjapur road, bangalore"
Gita Foods,Chinese,150,510,"brookefield, bangalore"
Kolkata Restaurant,North Indian,150,3564,"marathahalli, bangalore"
S.B.S. Halli Mane Hotel,South Indian,200,1,"bannerghatta road, bangalore"
Shezan,Chinese,375,829,"cunningham road, bangalore"
Toppings Town Pizza,Pizza,100,62,"bommanahalli, bangalore"
Royal Garden Family Restaurant,Chinese,200,79,"peenya, bangalore"
Aadam's  Ruchikoottu,South Indian,250,720,"bannerghatta road, bangalore"
Star Biriyani Ambur Style,Biryani,100,34,"bannerghatta road, bangalore"
Sri Ganesh Satkara,South Indian,150,338,"nagawara, bangalore"
Swizzle,Beverages,200,0,"kammanahalli, bangalore"
Burger Hangout,Burger,150,439,"whitefield, bangalore"
Guru Palace,North Indian,325,2246,"bannerghatta road, bangalore"
Kolkata Sholoana,Bengali,250,1922,"marathahalli, bangalore"
Hotel Anugraha Nati style,North Indian,150,194,"bellandur, bangalore"
Hoskote Dum Biryani House,Biryani,200,189,"electronic city, bangalore"
AL-Arabic Shawarma,Arabian,150,234,"indiranagar, bangalore"
The Delhi Ritual,North Indian,200,519,"rajajinagar, bangalore"
Saravana Bhavan Hotel,South Indian,50,58,"koramangala 8th block, bangalore"
Ayda Persian Kitchen,North Indian,475,155,"church street, bangalore"
Fresh Bites,North Indian,100,254,"banaswadi, bangalore"
Green Onion,Chinese,350,191,"bellandur, bangalore"
Sultan Rolls & Sandwiches,Biryani,150,6674,"new bel road, bangalore"
Jus' Trufs,Cafe,500,1572,"jakkur, bangalore"
Edabba,North Indian,200,134,"electronic city, bangalore"
Punjabi Pure Veg Restaurant Since 1994,North Indian,175,744,"majestic, bangalore"
Pizza@88,Pizza,200,371,"btm, bangalore"
Simply Meal,Andhra,50,392,"wilson garden, bangalore"
Bismillah Hotel,Chinese,200,7,"hsr, bangalore"
Bismillah Hotel,Chinese,100,7,"hsr, bangalore"
Mad Square Sandwich Stop!,Sandwich,200,62,"bommanahalli, bangalore"
Andhra Meals Menu,Andhra,300,71,"bommanahalli, bangalore"
Hotel Karavali Fishland,Seafood,225,4,"vijay nagar, bangalore"
R R Noodles Express,Chinese,150,2270,"marathahalli, bangalore"
Green Pepper,Kerala,225,11500,"jeevan bhima nagar, bangalore"
Dial A Biryani,Biryani,350,4,"whitefield, bangalore"
Garden Fresh,Beverages,100,1243,"hsr, bangalore"
Sri Sapana Dhaba,North Indian,150,4952,"btm, bangalore"
Homely MealBox,Chinese,200,435,"koramangala 1st block, bangalore"
Shafiz Lajawaab,North Indian,175,139,"rt nagar, bangalore"
Ambur Five Star Dum Biryani,Biryani,125,830,"hebbal, bangalore"
The Taste Hub,Fast Food,100,57,"rt nagar, bangalore"
Sri Udupi Garden,South Indian,150,83,"marathahalli, bangalore"
Huliyappa's Donne Biryani,Biryani,175,923,"rt nagar, bangalore"
Hammered,North Indian,900,590,"sanjay nagar, bangalore"
Kulfi Shulfi- Kulfis and Ice Cream,Desserts,100,41,"btm, bangalore"
Kulfi Shulfi- Kulfis and Ice Cream,Desserts,75,41,"btm, bangalore"
Hokart Sri Kaballama 99 Variety Dosa,South Indian,200,16,"hsr, bangalore"
Akshaya Deluxe,North Indian,350,18400,"new bel road, bangalore"
Roti Wala. Com,North Indian,150,40500,"btm, bangalore"
LV Lunch Home,South Indian,100,1703,"vijay nagar, bangalore"
The Indian Rasoi,Street Food,150,293,"jp nagar, bangalore"
Mangalore Kitchen,Mangalorean,250,7940,"vijay nagar, bangalore"
Mangalore Kitchen,Mangalorean,200,7940,"vijay nagar, bangalore"
Budget Saapadu,Biryani,100,656,"itpl main road, whitefield, bangalore"
Reddy's Kitchen,Biryani,350,604,"banaswadi, bangalore"
Delhi Dinner Darbar,North Indian,100,323,"yeshwantpur, bangalore"
Khmer Kitchen,Asian,950,657,"jp nagar, bangalore"
Prezzed Juicery,Healthy Food,150,2323,"koramangala 1st block, bangalore"
The Nukkad Wala,Sandwich,100,66,"koramangala 5th block, bangalore"
7 Days Restaurants,North Indian,200,145,"marathahalli, bangalore"
Brahmins' Upahar,South Indian,100,245,"rt nagar, bangalore"
Park Street,North Indian,150,109,"new bel road, bangalore"
Bharath Restaurant,North Indian,250,1279,"jalahalli, bangalore"
Gupi Baghar Rannaghar,Bengali,150,153,"electronic city, bangalore"
Fabelle Chocolates - ITC Gardenia,Desserts,100,140,"itc gardenia, bangalore"
Tawakkal Mubarak Hotel,Mughlai,175,1489,"old airport road, bangalore"
Kataria's,North Indian,200,4706,"btm, bangalore"
Maa Tea,Tea,175,134,"marathahalli, bangalore"
Mangalore Kitchen,Street Food,250,7940,"vijay nagar, bangalore"
Mangalore Kitchen,Street Food,200,7940,"vijay nagar, bangalore"
The Cake Deluxe,Bakery,400,464,"rajajinagar, bangalore"
The Cake Deluxe,Bakery,150,464,"rajajinagar, bangalore"
The Cake Deluxe,Bakery,300,464,"rajajinagar, bangalore"
Orange Bake And Juice,Bakery,50,115,"btm, bangalore"
154 Breakfast Club,Cafe,450,1235,"koramangala 4th block, bangalore"
Hi-Fi Fast Food,Chinese,100,0,"rt nagar, bangalore"
Andrila's Kitchen,North Indian,100,1,"kaggadasapura, bangalore"
Satkriti Saatvik,North Indian,250,173,"jayanagar, bangalore"
The Bak Bak Box,North Indian,150,4,"ejipura, bangalore"
Call A Cake,Bakery,300,285,"btm, bangalore"
Kartik's Mithai Shoppe,Mithai,150,128,"marathahalli, bangalore"
The Asian Curry House,Vietnamese,600,510,"mantri square, malleshwaram, bangalore"
Aambani Rolls,Rolls,100,43,"sanjay nagar, bangalore"
Dal Roti,Biryani,200,28,"whitefield, bangalore"
Nandanam Restaurant,North Indian,150,1723,"electronic city, bangalore"
Nandanam Restaurant,North Indian,200,1723,"electronic city, bangalore"
Sikori,North Indian,450,4748,"kalyan nagar, bangalore"
Shahi Family Restaurant,North Indian,225,12600,"ulsoor, bangalore"
Hot Cafe,Chinese,150,154,"bommanahalli, bangalore"
Barbq & Biryani,BBQ,150,26,"rt nagar, bangalore"
Snacafe,Chinese,100,62,"itpl main road, whitefield, bangalore"
Byg Brewski Brewing Company,Continental,900,7967,"hennur, bangalore"
22nd Street Burgers,Burger,300,3,"bommanahalli, bangalore"
Star Ambur Dum Biryani,Biryani,100,144,"btm, bangalore"
Shree Ganesha Fruit Juice Center,Juices,50,50,"rt nagar, bangalore"
Pizza Brew House,Pizza,400,280,"new bel road, bangalore"
Andhra Speciality Restaurant,Andhra,150,168,"bommasandra, bangalore"
Punjabi Masala,North Indian,250,2582,"rajarajeshwari nagar, bangalore"
Carry Out,Wraps,150,255,"itpl main road, whitefield, bangalore"
Flavours Curated By ITC Windsor,North Indian,400,127,"itc windsor, bangalore"
Rolls Plaza,Biryani,150,13400,"marathahalli, bangalore"
Friends Night Kitchen,Italian,200,2065,"koramangala 6th block, bangalore"
Karnatic,Kerala,500,172,"church street, bangalore"
Ramtej Andhra Multi Cuisine Restaurant,Andhra,600,68,"itpl main road, whitefield, bangalore"
Manthara Kabab Magic,North Indian,200,11400,"marathahalli, bangalore"
Cheesecake Co.,Bakery,250,15,"electronic city, bangalore"
V Cafe- Meals By PVR,Burger,300,85,"orion mall, malleshwaram, bangalore"
Pavani Home Made Restaurant,Biryani,200,4,"jayanagar, bangalore"
Whitefield Social,North Indian,750,1251,"phoenix marketcity bangalore, whitefield, bangalore"
Punjabi Food Joint,North Indian,150,12300,"kr puram, bangalore"
The Maggi Company,Chinese,200,210,"bommasandra, bangalore"
Pathaan Sir,Rolls,150,12700,"koramangala 7th block, bangalore"
Pathaan Sir,Rolls,250,12700,"koramangala 7th block, bangalore"
DVG Benne Dosa,South Indian,100,788,"kalyan nagar, bangalore"
Sultan,Lebanese,175,54,"btm, bangalore"
Punjabi @ 99,North Indian,150,390,"electronic city, bangalore"
Punith Special Biryani,Biryani,100,113,"kalyan nagar, bangalore"
Anna Kitchen,South Indian,100,189,"electronic city, bangalore"
Bombay Kulfis,Ice Cream,100,14,"indiranagar, bangalore"
Kritunga Restaurant,Andhra,400,13600,"electronic city, bangalore"
Sachin Biryani's,South Indian,150,12,"basaveshwara nagar, bangalore"
Kalpavriksha Upahara,South Indian,300,788,"jayanagar, bangalore"
Shenoys Savi Sagar,South Indian,150,61,"basaveshwara nagar, bangalore"
Juicy City,Juices,100,450,"koramangala 5th block, bangalore"
Dofu,Chinese,600,911,"indiranagar, bangalore"
Pipabu,Continental,250,1507,"koramangala 4th block, bangalore"
Fabelle Chocolates,Desserts,400,48,"koramangala 7th block, bangalore"
Fabelle Chocolates,Desserts,500,48,"koramangala 7th block, bangalore"
Asha Melange,Fast Food,350,92,"malleshwaram, bangalore"
Asha Melange,Fast Food,150,92,"malleshwaram, bangalore"
Chinese Daily,Chinese,300,1889,"indiranagar, bangalore"
King Punjabi Restaurant,North Indian,200,12400,"btm, bangalore"
Chefer Plate,North Indian,225,356,"banashankari, bangalore"
Chefer Plate,North Indian,200,356,"banashankari, bangalore"
Subz,North Indian,500,274,"jayanagar, bangalore"
Mama's Restaurant,North Indian,250,4877,"nagawara, bangalore"
Gully Treats,Street Food,200,1666,"basaveshwara nagar, bangalore"
Amritam Super Foods,Salad,150,412,"whitefield, bangalore"
Mom's Cook House,South Indian,100,74,"whitefield, bangalore"
RJ Kitchen,Chinese,100,929,"electronic city, bangalore"
Bawarchi Restaurant,North Indian,150,1271,"whitefield, bangalore"
Anu Momos Chinese Kitchen,Chinese,150,3005,"kammanahalli, bangalore"
Kabab Magic,North Indian,200,44200,"basavanagudi, bangalore"
D Fusion,Bakery,175,463,"bommanahalli, bangalore"
Chinese Paradise,Chinese,150,7,"electronic city, bangalore"
Hokart Sneha Food Point,South Indian,100,10,"bommanahalli, bangalore"
Bhojohori Manna,Bengali,350,3116,"koramangala 6th block, bangalore"
