,Restaurant,price_for_one
138,Mr. Shawarma & Miss. Grill's,37537537537.5
139,Mr. Tea,20020020020020.0
140,Mudpipe Cafe,3.1850031850031845e+31
141,Muthashy's,2.86000286000286e+19
142,Mysore Military Hotel,50050050050050.0
143,Nammura Donne Biriyani,1.6679183345850012e+34
144,Nandi Chats,18939393.75
145,Navaruchi Hotel,3.7537537537537537e+22
146,Navya Foods,2.5025025025025025e+22
147,New Friends,5.0050050050050054e+25
148,New Kabab Plaza,4.1708375041708376e+16
149,New Mahesh Friends Food Corner,2.145002145002145e+19
150,New Punjabi Hotel,40040040040040.0
151,New South Corner,2.5025025025025024e+16
152,North Eats,20020020020020.0
153,North Ka Thadka,3.575003575003575e+19
154,Nourish,1.82000182000182e+31
155,OOttupura,30030030030030.0
156,Om Sri Sai Tiffin Center,12626262.5
157,Orange Bake And Juice,1010101010.0
158,Oven Theory Pizza,70070070070070.0
159,Paratha Meal Co,5.005005005005005e+16
160,Phoenix Cafe,1.668335001668335e+25
161,Pizza O' Clock,30030030030030.0
162,Pizza@88,2.86000286000286e+19
163,Poha House,18939393.75
164,Polamma's Mess,1.8768768768768769e+22
165,Puneri Katta,20020020020020.0
166,Punjabi Swag,6.256256256256257e+22
167,RB Food Point,30030030030030.0
168,RK Fresh Food,1.8768768768768769e+22
169,Rajasthani Taj Restaurant,2.145002145002145e+19
170,Rampyari Chaiwala Netaji Bhajiawala,2.3070488867068527e+42
171,Rawchef,2.5025025025025024e+16
172,Roti Sabji.Com,2.145002145002145e+19
173,Roti Wala. Com,2.145002145002145e+19
174,Royal Biryani Kitchen,1.668335001668335e+25
175,Royale Rolls,3.33667000333667e+16
176,S M Shawarma Hut,1.668335001668335e+16
177,SKS Cafe,25025025025.0
178,SS Hot Dum Briyani Point,2.5025025025025025e+22
179,Salena And New Salena Food Center,2.5025025025025024e+19
180,Saltlake,2.73000273000273e+31
181,Samosa Adda,126262626262.5
182,Savoury - Sea Shell Restaurant,4.504504504504504e+28
183,Savoury Restaurant,1.2514075014075015e+94
184,Sea Spoon - Costal Cuisine,2.5025025025025025e+22
185,Shadi Ki Biryani,1.668335001668335e+16
186,Shahi Ambur Briyani,20020020020020.0
187,Shawarma Rolls Cafe,1.365001365001365e+31
188,Shawarma Station,946969696969696.9
189,Shree Aaradhya 99 Variety Dosa & Pav Bhaji,1.946390835279724e+25
190,Shree Shabhari Darshini,25025025025.0
191,Sicilia Point Italian Bistro,2.145002145002145e+19
192,Singh Ji Food,1.2512512512512512e+22
193,Singh Punjabi Restaurant,2.919586252919586e+16
194,Snackies By Foodmode,1.43000143000143e+19
195,Snakiez,40040040040040.0
196,Spicy Restaurant,3.1281281281281283e+22
197,Sri Aakash Punjabi Dhaba,2.8153153153153154e+22
198,Sri Sapana Dhaba,2.145002145002145e+19
199,Sri Udupi Sagar,2.5025025025025024e+16
200,Sri Vishnu Park,3.892781670559448e+25
201,Star Ambur Dum Biryani,20020020020020.0
202,Sultan,2.1896896896896896e+22
203,Svadu Pure Ghee Sweets,1.8768768768768769e+22
204,Swad Punjab Da,37537537537.5
205,Swadista Aahar,2.145002145002145e+19
206,Taj Fast Food & Chicken Kebab Center,30030030030030.0
207,Tandoor Merchant,2.5025025025025025e+22
208,Tasty Magic,5.005005005005005e+22
209,Tasty Restaurant,1.365001365001365e+31
210,Tasty Shawarma Rolls,3.33667000333667e+16
211,Tasty Stuff,1.001001001001001e+28
212,Temperature Juice Bar,1.7875017875017875e+19
213,Thakali Momos,2.5025025025025024e+16
214,The Aroma Fox,1.668335001668335e+25
215,The Briyani Paradise,2.5025025025025027e+25
216,The Daily Bowl,1.2515637515637516e+46
217,The Firewood Pizza,3.1281281281281283e+22
218,The Food Cart,40040040040040.0
219,The Fritter Company,2.86000286000286e+19
220,The Fruit Bowl,2.5025025025025024e+16
221,The Golden Bowl,75075075075.0
222,The Happy Panda,2.5025025025025024e+16
223,The Meal Plate,1.8771893771893771e+22
224,The Paratha House,40040040040040.0
225,Thela Tapri,1.3902791680569457e+25
226,Udupi Gokul Cafe,2.145002145002145e+19
227,Vaigai Vilas,2.5025025025025027e+25
228,Voosh Thalis & Bowls,2.501877501877502e+22
229,Whhite Paani Food Chain,1010101010.0
230,Wish Meal,1.82000182000182e+31
231,Wok & Noodle,62562562562.5
232,World On A Swirl,40040040040040.0
233,Wrap It Up Rolls And More,25025025025025.0
234,XO Belgian Waffle,2.86000286000286e+19
